id,features
10,"[-0.896589994430542, -0.10274279862642288, 0.01627027802169323, 0.31078705191612244, -0.90155428647995, 0.238646000623703, 0.42128294706344604, 0.27039834856987, -0.1012437641620636, -0.2117241621017456, 0.24260210990905762, -0.04288944974541664, -0.2731274962425232, -0.23938988149166107, -0.41401946544647217, 0.4808359742164612, 0.36392053961753845, -0.09521584212779999, 0.5986077785491943, -0.5850697159767151, 0.2947661280632019, -0.34060317277908325, 0.3004698157310486, 0.41760367155075073, -0.13006803393363953, -0.3095940947532654, 0.15922243893146515, 0.46352827548980713, 0.004316185601055622, -0.6010668873786926]"
20,"[-0.738358199596405, 0.18796877562999725, -0.5426321029663086, 0.6130655407905579, -0.4621751308441162, 0.10579770803451538, 0.22845864295959473, -0.36217013001441956, -0.2373531609773636, -0.10637596994638443, -0.3868955373764038, -0.22854074835777283, -0.1565193384885788, -0.21101050078868866, -0.20002591609954834, 0.29769453406333923, 0.044029995799064636, -0.195344939827919, -0.16344814002513885, -0.501763105392456, 0.49872878193855286, -0.5634715557098389, 0.3596589267253876, 0.011801783926784992, -0.26898372173309326, -0.2004455178976059, 0.33031347393989563, 0.352304071187973, 0.2996984124183655, -0.22114840149879456]"
30,"[-0.5753592848777771, 0.2409125417470932, 0.09393864125013351, 0.2439676821231842, -0.03214121609926224, -0.07766058295965195, -0.05851520225405693, -0.1243710145354271, -0.40378621220588684, -0.11800219863653183, -0.5309048891067505, -0.5452355742454529, -0.060054488480091095, 0.4681936204433441, 0.20986653864383698, 0.7512112855911255, 0.03296232968568802, 0.3123742640018463, 0.20254360139369965, -0.5912632346153259, 0.27211347222328186, -0.27716392278671265, -0.2369193136692047, 0.18974409997463226, 0.3595370054244995, 0.148161381483078, -0.3897353410720825, 0.9302622675895691, 0.08941854536533356, -0.5107320547103882]"
40,"[-0.3286551535129547, 0.5937298536300659, -0.20599773526191711, -0.501209020614624, -0.012705104425549507, 0.18881726264953613, 0.3862142264842987, 0.26271888613700867, 0.013878269121050835, -0.4271083474159241, 0.3608330190181732, -0.31673261523246765, -0.19875703752040863, -0.008437107317149639, -0.21123163402080536, 0.2026577889919281, -0.00956089049577713, -0.29783838987350464, 0.41260674595832825, -0.4977026879787445, -0.033971138298511505, -0.3431251347064972, -0.5406743884086609, 0.05477510392665863, -0.14189444482326508, 0.18804924190044403, 0.3732137084007263, 0.060916271060705185, -0.18095102906227112, -0.5109184384346008]"
50,"[-1.112822413444519, 0.013847791589796543, -0.758641242980957, 0.23583632707595825, -0.5056489109992981, -0.06809242814779282, 0.6287432909011841, 0.17170000076293945, -0.5131732225418091, -0.19063794612884521, -0.03414808586239815, -0.49359607696533203, -0.6266016960144043, -0.26490387320518494, -0.23810365796089172, 0.8735220432281494, 0.12030024826526642, -0.004154912196099758, 0.339777410030365, -0.26853591203689575, 0.14986495673656464, -0.20186378061771393, 0.1070525273680687, 0.4046347439289093, 0.055558182299137115, 0.3754102289676666, 0.3507384955883026, 0.7813096642494202, 0.17862169444561005, -0.6222461462020874]"
60,"[-0.6975746750831604, -0.01802627556025982, 0.07277392596006393, 0.32694244384765625, -0.9543343186378479, 0.020403433591127396, 0.5929887294769287, -0.10364960879087448, -0.34320539236068726, -0.4088214933872223, 0.07754099369049072, -0.10061725229024887, -0.6031672358512878, 0.1227310448884964, -0.3098832368850708, 0.5237143635749817, 0.039509840309619904, -0.14790135622024536, -0.0625315010547638, -0.42353054881095886, 0.03950072079896927, -0.2594732642173767, 0.055683087557554245, 0.6229243278503418, -0.4158504605293274, -0.4493066966533661, 0.056645844131708145, 0.49105408787727356, 0.16231505572795868, 0.3210529386997223]"
70,"[-0.7064347267150879, 0.003587004030123353, 0.07008954137563705, 0.3348156809806824, -0.4980931878089905, 0.13236567378044128, 0.029741153120994568, 0.2559920847415924, -0.6680503487586975, 0.11708793044090271, 0.289935827255249, -0.18679046630859375, -0.6669098138809204, -0.6730552315711975, -0.14467260241508484, 0.9010666608810425, 0.4842676818370819, 0.34121930599212646, -0.06338275223970413, -0.6397666931152344, 0.20995107293128967, -0.46438735723495483, -0.13944387435913086, 0.2740248739719391, -0.5085510611534119, -0.023924678564071655, -0.15912842750549316, 0.7668636441230774, 0.1991911679506302, -0.4198075234889984]"
80,"[-0.6438602805137634, 0.2941863238811493, -0.2014348953962326, 0.42683929204940796, -0.40538448095321655, 0.08183038234710693, 0.29221901297569275, 0.1035648062825203, -0.36422425508499146, -0.3171282708644867, -0.1456228792667389, -0.5132966637611389, -0.4010896682739258, -0.11977935582399368, -0.12947885692119598, 0.7585238218307495, 0.1824982613325119, 0.1445377916097641, 0.33356189727783203, -0.5354703068733215, 0.4080786108970642, -0.18012750148773193, 0.014896754175424576, 0.3269241154193878, 0.1095249131321907, 0.2853403687477112, 0.13090632855892181, 0.8776817917823792, -0.07942628860473633, -0.20742109417915344]"
90,"[-0.9796421527862549, -0.06365235149860382, -0.222763791680336, 0.05612371489405632, -0.4823403060436249, 0.27566850185394287, 0.5573033094406128, -0.060439564287662506, -0.5424354672431946, -0.22533459961414337, 0.24706757068634033, -0.39698463678359985, -0.5037112832069397, -0.4771224558353424, -0.2682010233402252, 0.5925321578979492, 0.5180604457855225, 0.006512688007205725, 0.18433865904808044, -0.38423728942871094, 0.24534812569618225, -0.3393201529979706, 0.16908927261829376, 0.702517032623291, -0.02828904055058956, 0.29549622535705566, 0.2929060459136963, 0.8548017740249634, 0.011741089634597301, -0.43281397223472595]"
100,"[-0.5604197978973389, 0.32066652178764343, -0.08013907074928284, 0.10369373857975006, -0.5048213601112366, -0.005727026145905256, 0.34182503819465637, 0.08258393406867981, 0.09617815166711807, 0.05980711057782173, 0.014591398648917675, -0.23662926256656647, -0.4702938199043274, -0.1576252430677414, -0.4183744192123413, 0.4422561228275299, 0.04336107522249222, 0.26597097516059875, 0.14699293673038483, -0.41232189536094666, 0.1742645651102066, -0.1729222983121872, 0.11306972801685333, 0.4068772494792938, -0.3414085805416107, 0.07591687142848969, 0.15315262973308563, 0.5869960188865662, 0.03401698172092438, 0.11404082179069519]"
