id,features
10,"[0.3115406334400177, 0.06432715058326721, -0.05035815387964249, 0.5729197859764099, -0.7277557253837585, 0.49921560287475586, 0.882032573223114, 0.2991275191307068, 0.3768896162509918, 0.49632254242897034, -0.4704132676124573, 0.2698851227760315, -0.023511003702878952, -0.22367995977401733, -0.7706961035728455, 0.3359734117984772, 0.46449702978134155, -0.18428637087345123, 0.6622852683067322, -0.4545080363750458, 0.3383789658546448, -0.07568630576133728, -0.018931269645690918, 0.431210994720459, -0.030716734007000923, -0.9722602367401123, 0.010095673613250256, 0.49691444635391235, -0.4688691794872284, 0.4679226279258728]"
20,"[-0.6347537040710449, 0.01639608107507229, -0.7630327343940735, 0.057134270668029785, -0.42559555172920227, 0.615507185459137, 0.6815319657325745, 0.24514974653720856, -0.386916846036911, -0.0699487254023552, -0.16000498831272125, -0.12880924344062805, -0.7155733108520508, -0.17648731172084808, -0.37792426347732544, 0.3966115117073059, 0.5236639976501465, -0.016947289928793907, 0.44709205627441406, -0.2412034273147583, 0.7965925335884094, -0.16999994218349457, 0.32408228516578674, 0.3846907615661621, 0.21137478947639465, 0.41119781136512756, 0.2530306577682495, 0.7375632524490356, 0.09716889262199402, 0.4755735993385315]"
30,"[-1.0877571105957031, 0.11560513079166412, -0.5733080506324768, 0.34868332743644714, -0.5544242858886719, -0.04297368973493576, 0.7671087980270386, -0.007049724459648132, -0.42388632893562317, -0.1566545069217682, 0.2777861952781677, -0.3050321638584137, -0.5153884291648865, -0.28875571489334106, -0.48598307371139526, 0.25786280632019043, 0.36828601360321045, 0.007894269190728664, 0.4633176326751709, -0.10389728844165802, 0.4269653856754303, 0.010804538615047932, 0.3931467831134796, 0.036172013729810715, 0.008226311765611172, 0.21514812111854553, 0.35229846835136414, 0.3584597706794739, 0.2061193287372589, -0.12450502812862396]"
40,"[-0.6159976720809937, -0.028007052838802338, -0.06287098675966263, 0.35039785504341125, -0.8712252974510193, 0.2619549334049225, 0.9902698993682861, -0.14001139998435974, -0.23646071553230286, -0.04332113265991211, -0.03028879500925541, -0.5373173952102661, -0.037889476865530014, -0.13272961974143982, -0.4642643928527832, 0.4340822398662567, 0.06436794996261597, 0.3392029404640198, 0.21009065210819244, -0.38989418745040894, 0.15405476093292236, -0.2947525680065155, 0.020929325371980667, 0.4891394376754761, 0.04113328829407692, -0.06354270130395889, 0.19510121643543243, 1.251490592956543, 0.1786051243543625, -0.08135373890399933]"
50,"[-0.8021131753921509, 0.25124886631965637, -0.0818568766117096, 0.2679872512817383, -0.26854127645492554, 0.1280127614736557, 0.4352084994316101, 0.20322132110595703, -0.026804517954587936, -0.19949223101139069, -0.051640067249536514, -0.3268464505672455, -0.3119090497493744, 0.0031554263550788164, -0.1697998046875, 0.5737856030464172, 0.29662254452705383, -0.02077268809080124, 0.3277170658111572, -0.3285055160522461, 0.12878577411174774, -0.14800412952899933, 0.024321360513567924, 0.33867356181144714, -0.14762213826179504, 0.33135920763015747, -0.08655082434415817, 0.6522981524467468, 0.010562241077423096, -0.2220785766839981]"
60,"[-0.6242402791976929, 0.10961263626813889, -0.06403189152479172, 0.5988548398017883, -1.0256012678146362, 0.1328212022781372, 0.4414854049682617, 0.10647549480199814, -0.31145042181015015, 0.08138526976108551, 0.009202678687870502, -0.3874634802341461, -0.4596455693244934, -0.3452836871147156, -0.24999172985553741, 0.49064740538597107, 0.14754869043827057, -0.03880781680345535, 0.34036365151405334, -0.3895666301250458, 0.2019193023443222, -0.30568331480026245, 0.28227728605270386, 0.15617863833904266, -0.09925713390111923, 0.031594693660736084, 0.46492329239845276, 0.3856671154499054, -0.3381645679473877, 0.10430123656988144]"
70,"[-0.7130328416824341, 0.2705177962779999, -0.36483532190322876, 0.14527639746665955, -0.38240647315979004, 0.04072245955467224, 0.7936966419219971, 0.021342027932405472, -0.5502062439918518, 0.06659062206745148, 0.045655421912670135, -0.19710348546504974, -0.27750536799430847, -0.168637216091156, -0.3339805006980896, 0.8803036212921143, 0.32641416788101196, 0.1293448954820633, 0.6533605456352234, -0.07630402594804764, 0.776865541934967, -0.17077776789665222, 0.08405745774507523, 0.12484437972307205, 0.1010572537779808, -0.013280169107019901, 0.25025686621665955, 0.7114679217338562, 0.1462877243757248, -0.12698715925216675]"
80,"[-0.8683406710624695, 0.18289165198802948, 0.01329786516726017, 0.4425504505634308, -0.7315441370010376, 0.04125066101551056, 0.4585917294025421, 0.013604304753243923, -0.16963599622249603, -0.2667689919471741, 0.0814167708158493, -0.31906577944755554, -0.6340240836143494, -0.40273329615592957, -0.279093861579895, 0.5598294138908386, 0.3229864239692688, 0.04309946298599243, 0.3116075396537781, -0.3617958426475525, 0.20903632044792175, -0.21580494940280914, 0.23878827691078186, 0.5458359718322754, -0.14098289608955383, -0.035984206944704056, 0.26529574394226074, 0.7143435478210449, -0.002091440139338374, -0.2859390377998352]"
90,"[-0.668228805065155, 0.03267697989940643, -0.27220407128334045, 0.4619797170162201, -0.18862709403038025, -0.024838780984282494, 0.7542839050292969, 0.18236418068408966, -0.24299225211143494, -0.1889752894639969, -0.41534316539764404, -0.32908082008361816, -0.36969777941703796, -0.13277865946292877, -0.4365701377391815, 1.2017661333084106, 0.30181559920310974, 0.06611313670873642, 0.7017775774002075, -0.30151674151420593, 0.1356656402349472, -0.16139137744903564, 0.18887260556221008, 0.13462229073047638, 0.08233338594436646, 0.3016163408756256, 0.44665318727493286, 0.694421112537384, 0.20170196890830994, 0.1475706696510315]"
100,"[-0.6371238827705383, 0.4782502055168152, -0.2727477550506592, 0.324312686920166, -0.737503170967102, -0.009442307986319065, 0.7077505588531494, 0.1638711392879486, 0.07066776603460312, -0.08159203827381134, -0.1886630803346634, 0.2581661343574524, -0.41376596689224243, -0.27502113580703735, -0.4564862847328186, 0.657382071018219, 0.2894705533981323, 0.20536071062088013, 0.5099533200263977, -0.22151383757591248, 0.31198957562446594, -0.23678894340991974, 0.2444627285003662, 0.6744675040245056, -0.2733798027038574, -0.2044430822134018, 0.5301932096481323, 0.6611210107803345, -0.07570002228021622, 0.03465588018298149]"
